ct_depth,ct_pressure,n2_rate,p_gauge
2522.338867,1697.6301,406.9547653,648.4946
2577.064697,1694.699002,406.9547653,665.6422
2631.514648,1688.836155,372.1288204,682.4472
2686.22168,1682.973416,406.9547653,699.8019
2740.712646,1677.110569,372.1288204,717.7613
2795.45874,1676.133464,372.1288204,735.7249
2849.974121,1670.271159,406.9547653,752.6499
2904.739258,1668.316732,406.9547653,769.0097
2959.224609,1662.454319,372.1288204,784.8952
3013.959473,1661.47678,372.1288204,800.3937
3068.469482,1653.660373,406.9547653,815.6597
3123.218506,1647.797635,406.9547653,829.4313
3177.739502,1639.003689,372.1288204,843.9449
3232.413818,1632.163845,406.9547653,862.5678
3286.990479,1623.3699,372.1288204,885.3259
3340.809082,1616.529948,372.1288204,900.229
3395.46582,1607.736111,372.1288204,913.9656
3451.084116,1596.010525,406.9547653,926.5404
3505.843018,1583.308268,372.1288204,938.8033
3560.351563,1572.56033,372.1288204,950.11
3615.226074,1562.788845,406.9547653,961.7126
3669.870117,1553.9949,372.1288204,973.2105
3724.712847,1544.22385,372.1288204,985.3983
3779.436689,1531.521159,372.1288204,995.3771
3833.401855,1519.796115,406.9547653,1006.7644
3888.150391,1511.00217,406.9547653,1017.8969
3943.853664,1495.368381,372.1288204,1030.548
3998.668627,1484.620443,406.9547653,1042.5408
4053.401123,1474.84885,372.1288204,1056.8546
4108.259277,1457.260959,372.1288204,1069.8072
4162.97215,1447.490017,372.1288204,1083.1858
4217.893555,1431.856228,372.1288204,1100.9742
4272.600098,1421.108181,406.9547653,1117.0201
4327.507813,1406.451389,406.9547653,1127.9136
4382.245605,1398.634549,372.1288204,1135.3919
4437.141602,1384.954753,406.9547653,1142.55
4491.934082,1374.206814,406.9547653,1149.4334
4546.734863,1363.458659,406.9547653,1142.4394
4601.568359,1349.77908,406.9547653,1137.1274
4656.284668,1343.916341,406.9547653,1133.5277
4711.197754,1335.122287,406.9547653,1131.7945
4765.892578,1334.145291,406.9547653,1132.8169
4820.922363,1329.259983,372.1288204,1136.9615
4875.719238,1324.374349,406.9547653,1143.5309
4930.567383,1325.351345,406.9547653,1152.3548
4985.443359,1324.374349,372.1288204,1161.8158
5040.204102,1330.237088,406.9547653,1172.2908
5095.11377,1332.191189,406.9547653,1183.2929
5149.863281,1339.031033,372.1288204,1195.2332
5204.750488,1341.96224,406.9547653,1207.8154
5259.5625,1346.847873,372.1288204,1221.0694
5314.320313,1353.687717,372.1288204,1234.6357
5369.160645,1363.458659,406.9547653,1248.8098
5423.880859,1372.252713,372.1288204,1264.3218
5478.760742,1383.000651,406.9547653,1282.0173
5533.490234,1389.840603,406.9547653,1298.058
5588.289063,1402.543186,372.1288204,1314.5447
5643.147461,1413.291341,372.1288204,1331.563
5697.905762,1423.062283,372.1288204,1349.2782
5752.816895,1436.741862,406.9547653,1367.6172
5807.59668,1446.512912,372.1288204,1386.444
5862.305664,1454.329753,406.9547653,1405.8003
5917.162109,1465.077908,406.9547653,1425.324
5971.897949,1474.84885,372.1288204,1445.4269
6026.762695,1487.551541,372.1288204,1465.665
6080.713867,1496.345486,406.9547653,1486.0152
6135.567871,1505.139431,406.9547653,1506.5822
6191.482784,1515.887912,372.1288204,1527.3643
6245.361328,1525.658854,372.1288204,1547.977
6300.302734,1530.544162,372.1288204,1568.6583
6355.215332,1542.269748,372.1288204,1589.6366
6410.958984,1554.971897,372.1288204,1610.3161
6464.997559,1562.788845,372.1288204,1631.4532
6520.80127,1574.514431,372.1288204,1652.0848
6575.671875,1584.285373,406.9547653,1672.9907
6630.664551,1594.056424,372.1288204,1693.393
6685.535645,1608.713108,406.9547653,1714.0828
6740.469952,1618.484049,372.1288204,1734.7313
6795.44043,1633.140951,406.9547653,1755.604
6850.30127,1639.980686,372.1288204,1776.2734
6905.352051,1650.728841,372.1288204,1797.2352
6960.258789,1662.454319,406.9547653,1818.1671
7015.220215,1671.248264,372.1288204,1839.1079
7030.835938,1687.859049,372.1288204,1834.3187
7016.166992,1695.675998,372.1288204,1832.5262
7011.337891,1702.515951,372.1288204,1837.1404
7033.672852,1716.195095,406.9547653,1846.0492
7069.94043,1724.989041,406.9547653,1855.0678
7114.504883,1731.828885,406.9547653,1871.0575
7163.084473,1745.508464,406.9547653,1889.6118
7213.06543,1750.393772,406.9547653,1909.3105
7265.800293,1764.073459,406.9547653,1929.4365
7318.399414,1771.890408,406.9547653,1949.3594
7371.067383,1781.66135,372.1288204,1969.4755
7423.64209,1787.524197,372.1288204,1989.3696
7475.687988,1801.203885,406.9547653,2009.4966
7528.625,1807.066189,406.9547653,2029.8085
7581.435059,1821.722873,372.1288204,2050.1161
7634.428223,1826.608507,406.9547653,2070.4198
7687.364258,1838.333767,372.1288204,2090.7462
7740.489258,1847.127604,372.1288204,2111.2871
7794.673756,1858.853299,372.1288204,2131.5019
7847.946777,1870.578342,372.1288204,2151.9135
7901.34932,1880.349392,372.1288204,2172.3034
7954.694336,1890.120877,372.1288204,2192.7188
8007.994374,1899.89171,372.1288204,2212.8518
8061.455566,1912.593967,372.1288204,2233.3446
8114.847168,1927.250651,406.9547653,2253.9891
