ct_depth,ct_pressure,n2_rate,p_gauge
11621.54688,2635.655599,372.1288204,3368.2837
281.0551147,1647.797635,810.3877831,74.945
11811.68066,2889.703993,442.1720123,3847.49
11371.01758,2278.619575,432.7807331,3314.637
11654.66895,2702.098958,442.1720123,3419.7755
11655.13086,2764.633464,372.1288204,3513.2092
12910.96875,81.36720106,367.8244972,4120.7778
11521.52344,2607.31901,406.9547653,3322.3949
11654.1543,2774.404948,406.9547653,3521.9577
11811.7002,1210.052517,442.1720123,1459.571
11539.97852,2604.387804,372.1288204,3337.4932
11636.38379,2653.24349,372.1288204,3381.0626
11540.05273,2618.067057,406.9547653,3332.6256
11655.12793,2712.847005,372.1288204,3459.6767
7475.687988,1801.203885,406.9547653,2009.4966
11621.54883,2637.609592,372.1288204,3370.3991
11750.35645,1136.769314,442.1720123,1363.591
11655.12988,2707.961155,372.1288204,3469.3919
11654.54297,2663.014323,372.1288204,3387.3198
11540.07813,2614.158854,372.1288204,3332.5968
12783.43262,3421.708333,417.1286488,4487.0242
11811.70117,1188.555881,442.1720123,1417.263
11779.61816,1170.96799,442.1720123,1409.507
11540.04492,2617.090061,372.1288204,3331.6983
12696.75,1989.994358,392.4765587,2567.5288
11654.16113,2624.906901,372.1288204,3303.2681
11402.67773,2516.057075,408.9112759,3257.187
11540.05469,2618.067057,406.9547653,3332.4526
3580.092773,797.7121853,405.3895569,594.851
11654.16113,2616.113064,372.1288204,3293.7684
12668.00977,1960.79579,613.1712914,2340.4317
11621.54785,2651.288845,372.1288204,3382.0814
11655.13023,2703.075955,372.1288204,3449.6683
11371.02309,2281.550781,432.7807331,3246.822
11573.23438,2618.067057,372.1288204,3339.6722
11621.54785,2654.220486,406.9547653,3385.8337
11402.6709,2514.103082,408.9112759,3254.044
11621.54688,2650.311849,372.1288204,3375.3978
11655.13086,2725.549696,372.1288204,3440.7886
11654.16113,2626.861111,372.1288204,3312.1476
11684.7793,2699.167101,372.1288204,3529.482
12668.00977,1956.902561,613.1712914,2342.5133
11380.76855,2419.323134,408.9112759,3139.284
11779.58691,1246.205295,405.3895569,1543.425
11654.15918,2733.366536,406.9547653,3472.3431
11380.8584,2425.185981,408.9112759,3155.034
11521.4834,3810.141059,372.1288204,3354.721
11540.08496,2626.861111,406.9547653,3337.1064
11521.59277,2611.227865,372.1288204,3334.4161
11654.1543,2777.336155,372.1288204,3530.6337
11573.23633,2634.677951,406.9547653,3360.1023
