iter	RMSE
0	745.1457757
1	676.5923206
2	615.0892846
3	559.8437632
4	510.4899618
5	467.5555018
6	426.5889643
7	389.1367086
8	356.660803
9	325.5468443
10	299.8512225
11	276.3557569
12	254.598164
13	236.056245
14	217.8037518
15	202.8161469
16	189.3906123
17	176.9936878
18	164.713763
19	155.3763607
20	145.8633372
21	136.9962124
22	130.7812854
23	124.8012288
24	119.5916043
25	113.8907298
26	109.1147547
27	103.8978
28	100.2519585
29	97.17648059
30	94.10420038
31	91.72200783
32	88.72335668
33	85.61989641
34	82.96999291
35	81.22677044
36	79.08552878
37	77.3427255
38	75.814001
39	74.36679544
40	73.08966722
41	70.90610256
42	69.95642301
43	68.80284507
44	67.47082379
45	65.9537926
46	64.45729483
47	63.43199853
48	61.97758475
49	61.10629984
50	60.26494988
51	59.70131711
52	58.91998639
53	57.66255986
54	56.50732264
55	55.94027686
56	55.5769789
57	54.84365406
58	54.15772947
59	53.30440743
60	52.77083096
61	52.12103375
62	51.00642904
63	50.20018748
64	49.4096745
65	48.93492883
66	48.41144274
67	47.72520706
68	47.19506655
69	46.68285604
70	46.21357709
71	45.78222498
72	45.32015583
73	44.86763204
74	44.32308862
75	43.7947184
76	43.44989188
77	42.99476331
78	42.51477502
79	42.18251274
80	41.56991081
81	41.22063684
82	40.81813417
83	40.3492763
84	39.96555408
85	39.40625951
86	38.9260928
87	38.73060038
88	38.51057627
89	38.05691271
90	37.62852972
91	37.22978119
92	36.84061675
93	36.33927033
94	35.95447931
95	35.71642599
96	35.52896952
97	35.31080202
98	34.93728885
99	34.73114879
