iter	Passed	Remaining
0	4	4017
1	7	3778
2	10	3552
3	13	3426
4	16	3348
5	19	3294
6	22	3255
7	25	3223
8	29	3202
9	32	3205
10	35	3196
11	38	3176
12	41	3171
13	44	3156
14	47	3143
15	51	3169
16	54	3177
17	58	3169
18	61	3159
19	64	3147
20	67	3137
21	70	3133
22	73	3120
23	76	3116
24	79	3113
25	82	3106
26	85	3097
27	89	3090
28	92	3083
29	95	3080
30	98	3081
31	101	3074
32	104	3070
33	107	3066
34	111	3060
35	114	3053
36	117	3052
37	120	3047
38	123	3041
39	126	3043
40	130	3051
41	133	3047
42	136	3042
43	139	3036
44	142	3031
45	145	3025
46	148	3019
47	151	3014
48	155	3012
49	158	3005
50	161	2999
51	164	2994
52	167	2989
53	170	2986
54	173	2982
55	176	2978
56	179	2973
57	182	2968
58	185	2963
59	188	2959
60	191	2954
61	195	2950
62	198	2947
63	201	2943
64	204	2939
65	207	2934
66	210	2931
67	213	2927
68	216	2923
69	219	2918
70	222	2914
71	225	2908
72	228	2904
73	231	2902
74	235	2902
75	238	2900
76	241	2899
77	245	2896
78	248	2896
79	251	2893
80	254	2887
81	257	2882
82	260	2877
83	263	2876
84	266	2873
85	270	2870
86	273	2867
87	276	2863
88	279	2860
89	282	2857
90	285	2852
91	288	2848
92	291	2844
93	294	2840
94	297	2836
95	300	2832
96	303	2828
97	307	2826
98	310	2826
99	313	2821
100	316	2818
101	319	2813
102	322	2809
103	326	2810
104	329	2812
105	333	2816
106	337	2817
107	341	2820
108	345	2821
109	348	2822
110	352	2823
111	356	2825
112	360	2826
113	363	2827
114	369	2843
115	378	2888
116	387	2921
117	391	2924
118	395	2925
119	399	2926
120	402	2925
121	406	2922
122	409	2920
123	414	2930
124	418	2931
125	422	2931
126	426	2929
127	429	2927
128	433	2925
129	436	2923
130	440	2921
131	444	2921
132	447	2919
133	451	2920
134	455	2919
135	459	2917
136	463	2921
137	467	2920
138	471	2923
139	475	2920
140	478	2917
141	482	2916
142	486	2913
143	490	2915
144	494	2913
145	497	2911
146	503	2919
147	506	2917
148	510	2916
149	514	2916
150	518	2916
151	522	2914
152	525	2910
153	529	2911
154	533	2909
155	537	2907
156	540	2904
157	544	2901
158	548	2898
159	551	2896
160	555	2892
161	558	2889
162	562	2887
163	565	2883
164	569	2881
165	574	2884
166	579	2888
167	583	2887
168	587	2887
169	590	2884
170	594	2880
171	597	2878
172	601	2875
173	604	2871
174	608	2869
175	612	2866
176	616	2865
177	619	2862
178	623	2859
179	626	2855
180	630	2852
181	633	2849
182	637	2845
183	640	2841
184	644	2837
185	647	2834
186	651	2830
187	655	2829
188	658	2825
189	661	2820
190	664	2815
191	667	2809
192	670	2803
193	673	2800
194	678	2800
195	681	2797
196	685	2793
197	688	2788
198	691	2783
199	694	2778
200	697	2773
201	700	2768
202	703	2762
203	706	2758
204	709	2753
205	712	2747
206	715	2742
207	718	2737
208	722	2732
209	725	2727
210	728	2722
211	731	2717
212	734	2712
213	737	2707
214	740	2702
215	743	2697
216	746	2692
217	750	2690
218	753	2688
219	757	2685
220	760	2681
221	763	2676
222	766	2671
223	769	2666
224	772	2661
225	775	2657
226	778	2652
227	782	2647
228	784	2642
229	788	2638
230	791	2633
231	794	2628
232	797	2624
233	800	2619
234	803	2615
235	806	2610
236	809	2606
237	812	2601
238	815	2596
239	818	2591
240	821	2587
241	824	2582
242	827	2578
243	830	2573
244	833	2569
245	836	2564
246	839	2560
247	842	2556
248	846	2551
249	849	2547
250	852	2543
251	855	2538
252	858	2534
253	861	2529
254	864	2525
255	867	2520
256	870	2516
257	873	2512
258	876	2507
259	879	2503
260	882	2499
261	886	2496
262	889	2492
263	892	2487
264	895	2483
265	898	2479
266	902	2476
267	905	2472
268	908	2467
269	911	2463
270	914	2459
271	917	2455
272	920	2451
273	923	2447
274	926	2443
275	929	2439
276	932	2435
277	936	2431
278	938	2426
279	942	2422
280	945	2419
281	948	2415
282	951	2411
283	954	2407
284	957	2403
285	960	2398
286	964	2395
287	967	2392
288	970	2388
289	974	2384
290	977	2380
291	980	2376
292	983	2373
293	986	2368
294	989	2364
295	992	2361
296	995	2357
297	998	2352
298	1001	2349
299	1005	2345
300	1008	2341
301	1011	2337
302	1014	2333
303	1017	2329
304	1020	2325
305	1023	2322
306	1026	2317
307	1029	2313
308	1032	2309
309	1036	2305
310	1039	2302
311	1042	2298
312	1045	2294
313	1048	2290
314	1051	2286
315	1054	2282
316	1057	2278
317	1060	2274
318	1063	2270
319	1066	2266
320	1069	2262
321	1072	2258
322	1075	2254
323	1078	2250
324	1081	2246
325	1084	2243
326	1088	2239
327	1091	2235
328	1094	2231
329	1097	2227
330	1100	2223
331	1103	2219
332	1106	2216
333	1109	2212
334	1112	2208
335	1115	2204
336	1118	2200
337	1121	2196
338	1124	2192
339	1128	2190
340	1132	2188
341	1135	2185
342	1138	2181
343	1141	2177
344	1144	2173
345	1147	2169
346	1150	2165
347	1153	2161
348	1156	2158
349	1159	2154
350	1162	2150
351	1165	2146
352	1169	2142
353	1172	2138
354	1175	2135
355	1178	2131
356	1181	2128
357	1184	2124
358	1187	2120
359	1190	2116
360	1193	2112
361	1196	2108
362	1199	2104
363	1202	2101
364	1205	2097
365	1208	2093
366	1211	2090
367	1214	2086
368	1218	2082
369	1221	2079
370	1224	2075
371	1227	2072
372	1230	2068
373	1233	2064
374	1236	2060
375	1239	2057
376	1242	2053
377	1245	2050
378	1248	2046
379	1252	2042
380	1255	2039
381	1258	2035
382	1261	2032
383	1265	2029
384	1268	2026
385	1271	2022
386	1274	2018
387	1277	2015
388	1280	2011
389	1284	2008
390	1287	2004
391	1290	2000
392	1293	1997
393	1296	1993
