iter	Passed	Remaining
0	295	295331
1	302	150836
2	305	101689
3	310	77194
4	315	62686
5	319	52894
6	324	46077
7	334	41477
8	339	37397
9	347	34364
10	351	31605
11	355	29265
12	362	27486
13	365	25756
14	369	24278
15	374	23034
16	379	21922
17	383	20948
18	388	20066
19	394	19328
20	398	18567
21	401	17867
22	408	17350
23	412	16762
24	415	16218
25	419	15720
26	424	15292
27	427	14855
28	431	14451
29	436	14110
30	440	13764
31	444	13431
32	447	13118
33	455	12936
34	460	12691
35	467	12524
36	472	12301
37	477	12100
38	483	11925
39	489	11753
40	498	11667
41	503	11480
42	507	11303
43	513	11156
44	517	10975
45	521	10820
46	528	10719
47	532	10558
48	536	10406
49	544	10336
50	549	10230
51	556	10144
52	564	10082
53	581	10189
54	606	10417
55	610	10288
56	615	10178
57	619	10069
58	623	9949
59	628	9842
60	633	9746
61	636	9635
62	640	9529
63	644	9426
64	653	9404
65	657	9310
66	661	9216
67	667	9155
68	671	9062
69	675	8972
70	684	8958
71	688	8871
72	692	8788
73	697	8732
74	701	8650
75	705	8571
76	708	8498
77	714	8447
78	718	8373
79	721	8302
80	728	8259
81	731	8192
82	735	8125
83	738	8057
84	744	8009
85	747	7942
86	750	7878
87	754	7814
88	758	7764
89	762	7708
90	766	7651
91	769	7599
92	775	7562
93	778	7506
94	782	7450
95	785	7396
96	790	7356
97	793	7303
98	796	7250
99	799	7199
100	805	7172
101	809	7123
102	812	7074
103	815	7026
104	822	7008
105	826	6968
106	829	6926
107	834	6891
108	839	6864
109	843	6826
110	847	6785
111	852	6761
112	856	6723
113	860	6684
114	863	6647
115	868	6618
116	872	6583
117	876	6549
118	883	6539
119	887	6508
120	891	6475
121	897	6460
122	901	6429
123	905	6398
124	909	6369
125	915	6350
126	922	6340
127	932	6351
128	938	6338
129	945	6327
130	950	6303
131	954	6275
132	961	6268
133	965	6239
134	971	6225
135	978	6213
136	982	6186
137	985	6156
138	989	6130
139	995	6114
140	999	6088
141	1003	6061
142	1008	6045
143	1012	6019
144	1016	5992
145	1020	5968
146	1025	5949
147	1029	5925
148	1032	5898
149	1038	5887
150	1042	5862
151	1046	5837
152	1051	5823
153	1056	5804
154	1061	5784
155	1065	5761
156	1071	5752
157	1075	5729
158	1078	5705
159	1082	5681
160	1088	5670
161	1091	5648
162	1095	5626
163	1100	5610
164	1104	5588
165	1107	5566
166	1111	5544
167	1117	5533
168	1121	5512
169	1124	5491
170	1128	5471
171	1134	5460
172	1138	5440
173	1142	5421
174	1147	5408
175	1153	5398
176	1162	5406
177	1167	5392
178	1171	5375
179	1175	5355
180	1181	5347
181	1185	5328
182	1189	5309
183	1195	5300
184	1199	5284
185	1203	5267
186	1207	5251
187	1213	5240
188	1217	5224
189	1222	5210
190	1229	5209
191	1233	5191
192	1237	5173
193	1244	5170
194	1248	5152
195	1252	5136
196	1258	5127
197	1262	5115
198	1266	5097
199	1270	5080
200	1274	5067
201	1278	5049
202	1281	5030
203	1284	5012
204	1290	5003
205	1293	4985
206	1296	4968
207	1300	4950
208	1305	4939
209	1308	4923
210	1312	4906
211	1315	4889
212	1319	4876
213	1323	4860
214	1326	4844
215	1329	4827
216	1333	4812
217	1337	4798
218	1340	4781
219	1344	4765
220	1347	4750
221	1351	4737
222	1355	4723
223	1359	4708
224	1366	4708
225	1370	4694
226	1374	4679
227	1377	4663
228	1381	4652
229	1385	4638
230	1388	4623
231	1392	4608
232	1395	4594
233	1399	4582
234	1403	4567
235	1406	4553
236	1410	4539
237	1414	4528
238	1417	4514
239	1421	4500
240	1424	4485
241	1428	4472
242	1431	4460
243	1435	4446
244	1438	4432
245	1441	4419
246	1446	4409
247	1449	4396
248	1453	4382
249	1456	4368
250	1460	4357
251	1463	4345
252	1467	4332
253	1471	4320
254	1475	4311
255	1479	4298
256	1485	4294
257	1488	4282
258	1493	4273
259	1497	4262
260	1500	4249
261	1504	4236
262	1509	4229
263	1513	4218
264	1516	4206
265	1520	4194
266	1524	4185
267	1528	4173
268	1531	4161
269	1534	4149
270	1539	4140
271	1543	4130
272	1546	4118
273	1549	4106
274	1554	4097
275	1557	4086
276	1561	4075
277	1564	4064
278	1569	4055
279	1572	4044
280	1576	4032
281	1579	4021
282	1583	4011
283	1587	4001
284	1590	3990
285	1593	3979
286	1597	3968
287	1602	3960
288	1606	3951
289	1609	3941
290	1613	3931
291	1618	3923
292	1621	3911
293	1624	3900
294	1627	3889
295	1631	3880
296	1635	3870
297	1638	3860
298	1641	3849
299	1646	3841
300	1650	3831
301	1653	3822
302	1657	3812
303	1662	3805
304	1665	3796
305	1669	3785
306	1672	3775
307	1675	3765
308	1680	3758
309	1683	3747
310	1687	3737
311	1690	3727
312	1694	3719
313	1698	3710
314	1701	3699
315	1704	3689
316	1708	3681
317	1712	3672
318	1715	3662
319	1719	3652
320	1722	3643
321	1726	3636
322	1730	3626
323	1733	3616
324	1736	3607
325	1744	3605
326	1747	3596
327	1750	3586
328	1753	3577
329	1757	3569
330	1761	3560
331	1765	3551
332	1768	3542
333	1773	3535
334	1776	3526
335	1779	3517
336	1783	3508
337	1787	3500
338	1790	3491
339	1794	3482
340	1797	3473
341	1801	3465
342	1804	3457
343	1808	3448
344	1811	3438
345	1814	3429
346	1818	3422
